paper_doi,conf_seriesId,conf_acronym,conf_name,conf_city,conf_country,author_order,author_givenName,author_familyName,org_gridId,org_name,org_city,org_country,org_countrycode,affiliationString,paper_title,book_doi,book_title,book_confSubtitle,rights,year
10.1007/978-3-642-13489-0_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,4,Hanmin,Jung,grid.249964.4,Korea Institute of Science & Technology Information,Daejeon,South Korea,KR,Korea Institute of Science and Technology Information (KISTI),OntoFrame S3: Semantic Web-Based Academic Research Information Portal Service Empowered by STAR-WIN,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
10.1007/978-3-642-13489-0_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,5,Won-Kyung,Sung,grid.249964.4,Korea Institute of Science & Technology Information,Daejeon,South Korea,KR,Korea Institute of Science and Technology Information (KISTI),OntoFrame S3: Semantic Web-Based Academic Research Information Portal Service Empowered by STAR-WIN,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
10.1007/978-3-642-21064-8_32,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,5,Hwa-Sung,Kim,grid.411202.4,Kwangwoon University,Seoul,South Korea,KR,KwangWoon Univ.,EasyApp: Goal-Driven Service Flow Generator with Semantic Web Service Technologies,10.1007/978-3-642-21064-8,The Semantic Web: Research and Applications,"8th Extended Semantic Web Conference, ESWC 2011, Heraklion, Crete, Greece, May 29 ? June 2, 2011. Proceedings, Part II",OpenAccess,2011-01-01
10.1007/978-3-540-68234-9_8,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,1,Heeryon,Cho,grid.258799.8,Kyoto University,Kyoto,Japan,JP,Kyoto University,Assisting Pictogram Selection with Semantic Interpretation,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_8,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,2,Toru,Ishida,grid.258799.8,Kyoto University,Kyoto,Japan,JP,Kyoto University,Assisting Pictogram Selection with Semantic Interpretation,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-68234-9_8,esws,ESWC,European Semantic Web Conference,Canary Islands,Spain,4,Satoshi,Oyama,grid.258799.8,Kyoto University,Kyoto,Japan,JP,Kyoto University,Assisting Pictogram Selection with Semantic Interpretation,10.1007/978-3-540-68234-9,The Semantic Web: Research and Applications,"5th European Semantic Web Conference, ESWC 2008, Tenerife, Canary Islands, Spain",OpenAccess,2008-01-01
10.1007/978-3-540-25956-5_24,esws,ESWS,European Semantic Web Symposium,"Heraklion, Crete",Greece,1,Rita,Gavriloaie,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S and University of Hannover,No Registration Needed: How to Use Declarative Policies and Negotiation to Access Sensitive Resources on the Semantic Web,10.1007/b97867,The Semantic Web: Research and Applications,"First European Semantic Web Symposium, ESWS 2004, Heraklion, Crete, Greece, May 10-12, 2004, Proceedings",Restricted,2004-01-01
10.1007/978-3-540-25956-5_24,esws,ESWS,European Semantic Web Symposium,"Heraklion, Crete",Greece,2,Wolfgang,Nejdl,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S and University of Hannover,No Registration Needed: How to Use Declarative Policies and Negotiation to Access Sensitive Resources on the Semantic Web,10.1007/b97867,The Semantic Web: Research and Applications,"First European Semantic Web Symposium, ESWS 2004, Heraklion, Crete, Greece, May 10-12, 2004, Proceedings",Restricted,2004-01-01
10.1007/978-3-540-25956-5_24,esws,ESWS,European Semantic Web Symposium,"Heraklion, Crete",Greece,3,Daniel,Olmedilla,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S and University of Hannover,No Registration Needed: How to Use Declarative Policies and Negotiation to Access Sensitive Resources on the Semantic Web,10.1007/b97867,The Semantic Web: Research and Applications,"First European Semantic Web Symposium, ESWS 2004, Heraklion, Crete, Greece, May 10-12, 2004, Proceedings",Restricted,2004-01-01
10.1007/978-3-540-25956-5_13,esws,ESWS,European Semantic Web Symposium,"Heraklion, Crete",Greece,1,Paul-Alexandru,Chirita,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S and University of Hannover,Publish/Subscribe for RDF-based P2P Networks,10.1007/b97867,The Semantic Web: Research and Applications,"First European Semantic Web Symposium, ESWS 2004, Heraklion, Crete, Greece, May 10-12, 2004, Proceedings",Restricted,2004-01-01
10.1007/978-3-540-25956-5_13,esws,ESWS,European Semantic Web Symposium,"Heraklion, Crete",Greece,4,Wolfgang,Nejdl,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S and University of Hannover,Publish/Subscribe for RDF-based P2P Networks,10.1007/b97867,The Semantic Web: Research and Applications,"First European Semantic Web Symposium, ESWS 2004, Heraklion, Crete, Greece, May 10-12, 2004, Proceedings",Restricted,2004-01-01
10.1007/978-3-642-13486-9_6,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,2,Philipp,Kärger,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S Research Center & Leibniz University of Hannover,Reactive Policies for the Semantic Web,10.1007/978-3-642-13486-9,The Semantic Web: Research and Applications,"7th Extended Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 2, 2010, Proceedings, Part I",OpenAccess,2010-01-01
10.1007/978-3-642-13489-0_11,esws,ESWC,Extended Semantic Web Conference,"Heraklion, Crete",Greece,1,Philipp,Kärger,grid.9122.8,University of Hannover,Hanover,Germany,DE,L3S Research Center & University of Hannover,Guarding a Walled Garden — Semantic Privacy Preferences for the Social Web,10.1007/978-3-642-13489-0,The Semantic Web: Research and Applications,"7th European Semantic Web Conference, ESWC 2010, Heraklion, Crete, Greece, May 30 - June 3, 2010, Proceedings, Part II",OpenAccess,2010-01-01
